"Genus","ACM01","ACM07","ACM11","ACM14","ACM16","ACM21","ACM22","ACS01","ACS02","ACS03","ACS05","ACS07","ACS13","ACS15","ACS16","ACS19","ACS21","ACW01","ACW02","ACW06","ACW09","ACW10","ACW16","ACW19","ACW20","APM02","APM19","APM21","APW05","APW06","TCM01","TCM02","TCM03","TCM04","TCM05","TCM06","TCM09","TCM10","TCM12","TCM13","TCS04","TCS06","TCS09","TCS10","TCS11","TCS13","TCS16","TCS17","TCW01","TCW02","TCW03","TCW07","TCW09","TCW11","TCW12","TCW13","TCW14","TCW17","TPS03","TPS13"
"AB076847_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.587327894774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641.795431009082,0,0,0,0
"Acholeplasma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.125236234414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.181945147742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidipila",0,0,0,0,0,0,0,2335.53480146998,0,0,0,0,3140.27551402959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953.70397992647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidovorax",0,0,0,5546.75237667354,0,0,0,0,0,0,0,0,0,0,0,0,0,4306.3964115887,5481.14993311455,0,0,0,1292.123946298,0,0,0,0,0,17058.3489045563,0,8064.67719201016,0,0,9137.63242428021,0,0,0,0,1172.02356734291,0,0,0,0,0,0,0,0,0,14063.2554492888,0,6220.16859146642,0,4006.48979833461,0,154130.149285932,18323.6865430577,1646.0203091162,2537.37333179743,0,0
"Acinetobacter",37148.4543504538,0,23488.3418249785,92403.3478430046,29085.4101482755,759.22049055516,819.842838807845,0,0,0,0,0,0,0,0,0,0,76594.5390880958,22005.2408148446,0,1028.40918751684,0,7308.82379439726,11625.3301265387,13214.3357144451,0,6001.67041422702,2122.66710288516,0,0,5699.92772548119,0,0,66319.0028739269,14380.1118691656,45291.3614355331,326941.528075212,86044.013739751,98663.6804996478,7247.08648005514,0,0,0,0,0,0,0,0,0,0,6147.24949402011,0,3645.03121992382,0,0,3069.05655442624,858.6198012593,33013.6512887213,0,0
"Actinoallomurus",0,0,0,0,0,0,0,4050.43797737451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5412.87573021529,2605.27641721523,5591.61917565601,7476.43058136607,0,0,0,0,0,0,0,0,0,0,0,2179.02966215142,3289.18978672743
"Actinocorallia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028.55246957571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomycetospora",0,0,0,0,0,0,0,3010.18901792473,0,0,0,1645.34816400842,0,0,5002.91423613462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinoplanes",0,0,0,0,0,0,0,4370.80450474129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3692.58158861622,0,11219.6726070881,0,0,0,0,0,0,0,0,0,0,0,0,4870.8679747276
"Actinospica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11400.1582390445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinotalea",0,0,0,0,0,0,0,0,0,0,0,1191.86694444948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acuticoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884.05602498703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Advenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.567772815118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aequorivita",0,0,0,0,0,0,704.605397983223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia",0,1463.00251066085,0,0,0,0,1136.93409754749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767.48852991589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084.1769682327,0,0,0,0,0,1375.38699418709,0,0,0
"Aestuariivirga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11882.4260977197,1153.41184504238,3006.81458103339,7311.08023225023,4284.87809737003,2503.9855922508,0,1848.68059242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.353875448789,0,12408.6957156382,0,0,0,0,6062.18625441205,870.78773960029,0,0
"AF236014_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.97737173687,1269.71891466911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.799662291505,0,0,0,0
"Afipia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41182.7833165781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846.132169729567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agathobaculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719.69920798582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrococcus",0,0,0,0,0,0,532.502422634034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces",0,0,0,0,0,0,0,0,0,0,0,1838.57059669006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.14465405066,0,0,0,0,0
"Albirhodobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.073283596148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.250288441256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algoriella",1291.04853001064,0,364.465028698229,658.676844729983,465.169813810675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.186306340319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algoriphagus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795.358796259241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliarcobacter",0,0,861.733491056108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicycliphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.757681129015,515.057929886136,0,0,0
"Aliicoccus",0,0,0,0,0,0,1307.90729406506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.02830739754,0,0,0,0,0,0,0,0,1476.20716727817,493.894203369796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allonocardiopsis",0,0,0,0,0,0,0,4084.3591390957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.47587373563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.997838425464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allorhizocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996.77966275059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alphabaculovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651.76261929121
"Alsobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.49262569007,0,9056.81903260685,0,0,0,0,0,0,0,640.320234820973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102.26542651395,0,0,0,0,601.067368857022,0,0,0,0
"Altererythrobacter",5693.81743746736,1576.38325039672,0,0,0,0,932.067536081495,0,0,0,0,0,0,0,2453.33914045073,2382.73675928955,0,0,0,0,0,0,0,0,0,0,0,0,3551.71551878219,0,2582.44439310733,0,0,11373.5525801358,0,0,0,0,0,0,0,0,1949.02782126676,0,0,0,0,0,0,0,0,0,0,0,0,3454.65933641429,0,0,0,0
"ALYD_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.17174415376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amauroascus",2844.70806783025,792.101305878908,0,0,0,0,0,0,2195.28356409938,2891.85789533831,0,0,6309.2439007762,0,1486.91328015163,0,0,0,0,1013.95951208059,1464.48877393627,2932.2042136092,0,0,0,0,0,0,1046.45287464667,0,1171.26002750609,0,0,1001.04155281399,0,0,0,0,0,0,0,2174.37478508255,1502.88106549961,2411.28910798726,1458.18466136628,0,0,0,0,0,0,0,784.455803683623,2821.67659562548,0,0,0,675.555447574093,2184.09717299363,0
