Sample,gene_family,product_name,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,Gene Length,Gene Base Coverage,Bases Abundance,% Gene Coverage,Presence
ACM01,oqxB,multidrug efflux RND transporter permease subunit OqxB18,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,WP_063865440.1,NG_050436.1,3153,169,302,5.359974627339042,1
ACM01,ere(D),EreD family erythromycin esterase,AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_015345560.1,NG_047771.1,1227,213,302,17.359413202933986,1
ACM01,tet(G),tetracycline efflux MFS transporter Tet(G),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_032488557.1,NG_048191.1,1182,179,302,15.143824027072759,1
ACM01,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856407.1,NG_048270.1,1926,1137,2199,59.034267912772584,1
ACM01,tet(40),tetracycline efflux MFS transporter Tet(40),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855880.1,NG_048138.1,1221,680,1208,55.692055692055696,1
ACM01,blaACT,cephalosporin-hydrolyzing class C beta-lactamase ACT-22,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063857771.1,NG_048609.1,1146,181,302,15.794066317626527,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856415.1,NG_048286.1,1920,1315,4617,68.48958333333334,1
ACM01,vanT-C,membrane-bound serine racemase VanT-C,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856755.1,NG_048459.1,2103,215,302,10.223490252020923,1
ACM01,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_014636304.1,NG_047975.1,1218,150,150,12.31527093596059,1
ACM01,rphD,rifamycin-inactivating phosphotransferase RphD,AMR,AMR,RIFAMYCIN,RIFAMYCIN,WP_087348261.1,NG_063826.1,2619,153,302,5.841924398625429,1
ACM01,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE,WP_032490786.1,NG_048112.1,819,302,302,36.87423687423688,1
ACM01,tet(39),tetracycline efflux MFS transporter Tet(39),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_004856455.1,NG_048137.1,1188,223,302,18.77104377104377,1
ACM01,aadA6,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_022675713.1,NG_047359.1,846,151,151,17.84869976359338,1
ACM01,tet(A),tetracycline efflux MFS transporter Tet(A),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063855887.1,NG_048151.1,1200,450,450,37.5,1
ACM01,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,AMR,AMR,SULFONAMIDE,SULFONAMIDE,WP_063855540.1,NG_048108.1,816,151,151,18.504901960784316,1
ACM01,blaEC,cephalosporin-hydrolyzing class C beta-lactamase EC-8,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,WP_063860454.1,NG_049086.1,1134,517,2416,45.59082892416226,1
ACM01,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,WP_109545041.1,NG_056002.2,828,156,299,18.84057971014493,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_024963478.1,NG_048284.1,1920,520,1206,27.083333333333332,1
ACM01,vanR-Sc,VanSc-type vancomycin resistance response regulator transcription factor VanR,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_011029105.1,NG_070726.1,696,247,302,35.48850574712644,1
ACM01,cmlB1,chloramphenicol efflux MFS transporter CmlB1,AMR,AMR,PHENICOL,CHLORAMPHENICOL,WP_024160909.1,NG_047658.1,1266,151,151,11.92733017377567,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856422.1,NG_048295.1,1923,1209,2662,62.870514820592824,1
ACM01,mef(A),macrolide efflux MFS transporter Mef(A),AMR,AMR,MACROLIDE,ERYTHROMYCIN,WP_063853591.1,NG_047963.1,1218,229,302,18.801313628899834,1
ACM01,tet(O),tetracycline resistance ribosomal protection protein Tet(O),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_063856405.1,NG_048262.1,1920,1272,2984,66.25,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_122634437.1,NG_062353.1,1920,1096,2378,57.08333333333333,1
ACM01,tetA(P),tetracycline efflux MFS transporter TetA(P),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_003479690.1,NG_048315.1,1263,302,302,23.91132224861441,1
ACM01,vanTc,membrane-bound serine racemase VanT,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856758.1,NG_048462.1,2121,560,906,26.4026402640264,1
ACM01,vanR-O,VanO-type vancomycin resistance response regulator transcription factor VanR,AMR,AMR,GLYCOPEPTIDE,VANCOMYCIN,WP_063856729.1,NG_048424.1,702,241,453,34.33048433048433,1
ACM01,tet(W),tetracycline resistance ribosomal protection protein Tet(W),AMR,AMR,TETRACYCLINE,TETRACYCLINE,WP_011526261.1,NG_055990.1,1920,929,1193,48.385416666666664,1
